Trip ID,Taxi ID,Trip Start Timestamp,Trip End Timestamp,Trip Seconds,Trip Miles,Pickup Census Tract,Dropoff Census Tract,Pickup Community Area,Dropoff Community Area,Fare,Tips,Tolls,Extras,Trip Total,Payment Type,Company,Pickup Centroid Latitude,Pickup Centroid Longitude,Pickup Centroid Location,Dropoff Centroid Latitude,Dropoff Centroid Longitude,Dropoff Centroid  Location
0748e60a77bc445d7323b9be9a88d6b2e1bbfc41,26a53f41b40ca4ec225a15ff55054c0a2d9e4a48341ce95682596f2545c380d83287eaf73f920a605cf5993f70436c69808adfc634e475da3ae8a73895f6a4c1,12/01/2020 12:00:00 AM,12/01/2020 12:00:00 AM,60,0,,,76,76,3.25,0.00,0.00,4.00,7.25,Cash,Taxi Affiliation Services,41.980264315,-87.913624596,POINT (-87.913624596 41.9802643146),41.980264315,-87.913624596,POINT (-87.913624596 41.9802643146)
8281f84bba02073c8702447de88407450ea06783,2b35ab2108b3fac599b7123c729632c4df95b70bab75e4dc188505bb992f49226dcc074a70a2f7fe42d0983322f6c1e0dd286e6e979ff527064c66e4be629444,12/01/2020 12:00:00 AM,12/01/2020 10:00:00 AM,36060,1.2,,,3,70,50.25,12.65,0.00,0.00,62.90,Credit Card,Taxi Affiliation Services,41.96581197,-87.655878786,POINT (-87.6558787862 41.96581197),41.745757713,-87.708365704,POINT (-87.7083657043 41.7457577128)
a4a517a7a26f16a3888f668440d0885d3b21d96a,137d4f780c3823fdc5f26cec160a8c9f8eb952f769c5bc70d0bc747b3eda1d77f6c5df60f9caccccfecc6ded275a85c2cb5afcf4994f42473c445e8ef4a71e35,12/01/2020 12:00:00 AM,12/01/2020 12:00:00 AM,366,1.87,,,15,15,8.00,0.00,0.00,0.00,8.00,Cash,Flash Cab,41.954027649,-87.763399032,POINT (-87.7633990316 41.9540276487),41.954027649,-87.763399032,POINT (-87.7633990316 41.9540276487)
ba329a9627e44ce99a5f7da7f0a7b3c4db890402,6fd459ffaac2670ce6a096faf040b54b265ba8e619befa0f6e0b32de3ea7396d0c9632a2b9bea05ae309bcfc2c233aab67ba594425b7760d8eacd40702fc952c,12/01/2020 12:00:00 AM,12/01/2020 12:00:00 AM,600,0,,,8,8,7.50,0.00,0.00,0.00,7.50,Cash,Blue Ribbon Taxi Association Inc.,41.899602111,-87.633308037,POINT (-87.6333080367 41.899602111),41.899602111,-87.633308037,POINT (-87.6333080367 41.899602111)
c2e67b4197061ba4ad7aad696b7af830280a0ddb,c8f57a1150c210a9e6b3fcfb24c3d6d0a43d1879b4b9795d12ffb5917f2b77c86a098c8f0a7c2a301ef4ea972985d4e05bd8d52a2f7a1ecca253fb8e81e5755e,12/01/2020 12:00:00 AM,12/01/2020 12:00:00 AM,420,0,,,8,8,7.25,0.00,0.00,0.00,7.25,Cash,Taxi Affiliation Services,41.899602111,-87.633308037,POINT (-87.6333080367 41.899602111),41.899602111,-87.633308037,POINT (-87.6333080367 41.899602111)
ddc2b4ab3897f420d11ab54396319af2becb3661,356744753023949fa63be6a6d7e0aef31f2d50dd3b0258449c6b8b6d277765da6955b1ef88c72ca79a9db0d3c20b162fce7cd9ec113b49da61c12c2c546915d4,12/01/2020 12:00:00 AM,12/01/2020 12:30:00 AM,1768,9.35,,,67,51,28.50,0.00,0.00,0.00,28.50,Prcard,Flash Cab,41.775928827,-87.666596265,POINT (-87.6665962653 41.7759288274),41.690633347,-87.570058269,POINT (-87.5700582686 41.6906333472)
f63f2e03de7dc8415d44552b15b516d945b18691,2780ead18beaa862cc67315ddabd9d1acaadcd6da82eba38b064d7d6f4acc260b68ef1ae3ce06dad845178107940b3493fa99640f0f70c25d15cf57336ab7b8f,12/01/2020 12:00:00 AM,12/01/2020 12:00:00 AM,658,2.7,,,6,3,10.25,0.00,0.00,0.00,10.25,Cash,Flash Cab,41.944226601,-87.655998182,POINT (-87.6559981815 41.9442266014),41.96581197,-87.655878786,POINT (-87.6558787862 41.96581197)
15586a81b5dea3b1bc02c5e106395f0904f374d2,c0a827928965347f9f399784b2a984cfb62eeca5e4ff3923fe464fae1ebe161e7adedde4faae2bbbf3e8a9b1e2f5dcb3ee197e672a04961860b7f02e389bf80e,12/01/2020 12:00:00 AM,12/01/2020 12:15:00 AM,479,2.21,,,28,28,8.75,0.00,0.00,1.00,9.75,Cash,Flash Cab,41.874005383,-87.66351755,POINT (-87.6635175498 41.874005383),41.874005383,-87.66351755,POINT (-87.6635175498 41.874005383)
203a4f36718287a87ed9c1fe66c39f42272cc720,84522a85ee58de9e1dfd59459786cf9459b11889128b6ab448b516a63b55658098ecaed02c599c4960d1e188567ddcccff16e4f352c1cc0c9aa8b13c5ca913cd,12/01/2020 12:00:00 AM,12/01/2020 04:45:00 AM,16680,2.5,,,35,32,156.25,0.00,0.00,0.00,156.25,Cash,Taxi Affiliation Services,41.835117986,-87.618677767,POINT (-87.6186777673 41.8351179863),41.878865584,-87.625192142,POINT (-87.6251921424 41.8788655841)
2aa43eea445cd38b733ec98bb6fa4ee17241e820,70310ef891a6c3b2bc1ec7968765c6490fd04a8af40d69e0d0dc94ce0b5b5f329be63005eff54aa43f384ff72ce921e975e1230d53b56301ce5225b5c3095133,12/01/2020 12:00:00 AM,12/01/2020 12:30:00 AM,1500,21.6,,,56,13,52.50,14.50,0.00,5.00,72.00,Credit Card,Taxi Affiliation Services,41.79259236,-87.769615453,POINT (-87.7696154528 41.7925923603),41.983636307,-87.723583185,POINT (-87.7235831853 41.9836363072)
39017e4a966ff68aafb1b76cf9b9ae932a3d149e,0f7439de8fef7b3ef247bb39388ced311561970baab1d6e387c9b75619d344df2bbf105ef0b45a1fa3ddfbdc6977d5243102977c496b7e669bb74f2ebdcab765,12/01/2020 12:00:00 AM,12/01/2020 12:15:00 AM,240,1,,,32,8,5.75,0.00,0.00,0.00,5.75,Cash,Blue Ribbon Taxi Association Inc.,41.878865584,-87.625192142,POINT (-87.6251921424 41.8788655841),41.899602111,-87.633308037,POINT (-87.6333080367 41.899602111)
50e7af76d238b8af5bd908ac250c0cdfadd0029a,6fa0364cac8d604e8a7613c08fdcbe5bfa05e361d4a7585de8caaa7b5f12b0c5b3c3a00fe5e1bfe58c3341d7aa3e0c4ff23cbdf4375dd3e55f20b643e85ab683,12/01/2020 12:00:00 AM,12/01/2020 12:15:00 AM,535,4.74,,,8,35,14.00,2.00,0.00,0.00,16.50,Credit Card,Flash Cab,41.899602111,-87.633308037,POINT (-87.6333080367 41.899602111),41.835117986,-87.618677767,POINT (-87.6186777673 41.8351179863)
58180f80980ced59f095a93fb5c81b3af1ecd850,137d4f780c3823fdc5f26cec160a8c9f8eb952f769c5bc70d0bc747b3eda1d77f6c5df60f9caccccfecc6ded275a85c2cb5afcf4994f42473c445e8ef4a71e35,12/01/2020 12:00:00 AM,12/01/2020 12:45:00 AM,2292,6.91,,,15,,24.00,0.00,0.00,0.00,24.00,Prcard,Flash Cab,41.954027649,-87.763399032,POINT (-87.7633990316 41.9540276487),,,
